Compression ratio comparison (representative natural-language corpus)

Input   Original(B)   Huffman(B)      LZ78(B)   H ratio   L ratio
--------------------------------------------------------------------
1kB            1030          817          815     0.793     0.791
4kB            4118         2646         2886     0.643     0.701
16kB          16525         9618        10465     0.582     0.633
64kB          66075        37490        38765     0.567     0.587
256kB        265516       148780       148122     0.560     0.558
1MB         1066911       586648       546885     0.550     0.513
4MB         4309826      2441763      2075502     0.567     0.482
16MB       17182048      9916013      7901506     0.577     0.460

